symbol,variacion,base,name,precio,hora_variacion,hora_base
ARUSDT,-0.23914191,20.66,AR,20.899141,2024-11-28 14:14:21,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24011125,1.26,XTZ,1.5001112,2024-11-28 14:14:22,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24014324,0.616,STRK,0.85614324,2024-11-28 14:14:22,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24013442,0.80444,EOS,1.0445744,2024-11-28 14:14:22,2024-11-28T14:37:04.815Z
DASHUSDT,-0.238404,36.30377,DASH,36.542175,2024-11-28 14:14:23,1732804625
NEOUSDT,-0.23946133,14.815454,NEO,15.054915,2024-11-28 14:14:23,1732804625
STEEMUSDT,-0.24016069,0.190752,STEEM,0.4309127,2024-11-28 14:14:23,1732804625
ZENUSDT,-0.2394478,16.16923,ZEN,16.408678,2024-11-28 14:14:24,1732804625
PEPEUSDT,-0.24017315,1.931536e-05,PEPE,0.24019246,2024-11-28 14:14:24,2024-11-27T16:52:08
TRXUSDT,-0.24016333,0.2004177,TRX,0.44058102,2024-11-28 14:14:24,2024-11-27T16:52:17
XRPUSDT,-0.2401018,1.4754864,XRP,1.7155882,2024-11-28 14:14:25,2024-11-27T16:52:19
THEUSDT,-0.24001978,3.8272066,THE,4.0672264,2024-11-28 14:14:25,2024-11-27T16:52:30
DOGEUSDT,-0.24015385,0.39928582,DOGE,0.63943964,2024-11-28 14:14:25,2024-11-27T16:52:32
BTCUSDT,4.355823,90664.21,BITCOIN,90659.85,2024-11-28 14:14:26,1732728600
ETHUSDT,-0.06739273,3363.188,ETHEREUM,3363.2554,2024-11-28 14:14:26,1732728660
ARUSDT,-0.23914208,20.66,AR,20.899141,2024-11-28 14:14:33,2024-11-28T14:37:09.255Z
XTZUSDT,-0.2401109,1.26,XTZ,1.5001109,2024-11-28 14:14:34,2024-11-28T14:37:11.977Z
STRKUSDT,-0.2401429,0.616,STRK,0.8561429,2024-11-28 14:14:34,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24013409,0.80444,EOS,1.0445741,2024-11-28 14:14:34,2024-11-28T14:37:04.815Z
DASHUSDT,-0.2384037,36.30377,DASH,36.542175,2024-11-28 14:14:35,1732804625
NEOUSDT,-0.23946053,14.815454,NEO,15.054914,2024-11-28 14:14:35,1732804625
STEEMUSDT,-0.24016035,0.190752,STEEM,0.43091235,2024-11-28 14:14:35,1732804625
ZENUSDT,-0.23944747,16.16923,ZEN,16.408678,2024-11-28 14:14:36,1732804625
PEPEUSDT,-0.2401728,1.931536e-05,PEPE,0.24019212,2024-11-28 14:14:36,2024-11-27T16:52:08
TRXUSDT,-0.24016298,0.2004177,TRX,0.44058067,2024-11-28 14:14:36,2024-11-27T16:52:17
XRPUSDT,-0.24010149,1.4754864,XRP,1.7155879,2024-11-28 14:14:37,2024-11-27T16:52:19
THEUSDT,-0.24001887,3.8272066,THE,4.0672255,2024-11-28 14:14:37,2024-11-27T16:52:30
DOGEUSDT,-0.24015352,0.39928582,DOGE,0.63943934,2024-11-28 14:14:38,2024-11-27T16:52:32
BTCUSDT,4.355823,90664.21,BITCOIN,90659.85,2024-11-28 14:14:38,1732728600
ETHUSDT,-0.06739857,3363.188,ETHEREUM,3363.2554,2024-11-28 14:14:38,1732728660
ARUSDT,-0.23914188,20.66,AR,20.899141,2024-11-28 14:14:45,2024-11-28T14:37:09.255Z
XTZUSDT,-0.2401102,1.26,XTZ,1.5001101,2024-11-28 14:14:46,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24014224,0.616,STRK,0.8561422,2024-11-28 14:14:46,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24013342,0.80444,EOS,1.0445734,2024-11-28 14:14:46,2024-11-28T14:37:04.815Z
DASHUSDT,-0.2384022,36.30377,DASH,36.54217,2024-11-28 14:14:47,1732804625
NEOUSDT,-0.23945951,14.815454,NEO,15.0549135,2024-11-28 14:14:47,1732804625
STEEMUSDT,-0.24015968,0.190752,STEEM,0.4309117,2024-11-28 14:14:47,1732804625
ZENUSDT,-0.23944646,16.16923,ZEN,16.408676,2024-11-28 14:14:48,1732804625
PEPEUSDT,-0.24017213,1.931536e-05,PEPE,0.24019144,2024-11-28 14:14:48,2024-11-27T16:52:08
TRXUSDT,-0.24016231,0.2004177,TRX,0.44058,2024-11-28 14:14:48,2024-11-27T16:52:17
XRPUSDT,-0.2401008,1.4754864,XRP,1.7155873,2024-11-28 14:14:49,2024-11-27T16:52:19
THEUSDT,-0.24001844,3.8272066,THE,4.067225,2024-11-28 14:14:49,2024-11-27T16:52:30
DOGEUSDT,-0.24015285,0.39928582,DOGE,0.6394387,2024-11-28 14:14:50,2024-11-27T16:52:32
BTCUSDT,4.3558235,90664.21,BITCOIN,90659.85,2024-11-28 14:14:50,1732728600
ETHUSDT,-0.067408435,3363.188,ETHEREUM,3363.2554,2024-11-28 14:14:50,1732728660
ARUSDT,-0.23913993,20.66,AR,20.89914,2024-11-28 14:14:58,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010831,1.26,XTZ,1.5001084,2024-11-28 14:14:58,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24014035,0.616,STRK,0.8561404,2024-11-28 14:14:58,2024-11-28T14:37:10.860Z
EOSUSDT,-0.2401315,0.80444,EOS,1.0445715,2024-11-28 14:14:59,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23840104,36.30377,DASH,36.54217,2024-11-28 14:14:59,1732804625
NEOUSDT,-0.23945887,14.815454,NEO,15.054913,2024-11-28 14:15:00,1732804625
STEEMUSDT,-0.24015775,0.190752,STEEM,0.43090975,2024-11-28 14:15:00,1732804625
ZENUSDT,-0.23944534,16.16923,ZEN,16.408676,2024-11-28 14:15:00,1732804625
PEPEUSDT,-0.24017021,1.931536e-05,PEPE,0.24018952,2024-11-28 14:15:01,2024-11-27T16:52:08
TRXUSDT,-0.24016039,0.2004177,TRX,0.4405781,2024-11-28 14:15:01,2024-11-27T16:52:17
XRPUSDT,-0.24009888,1.4754864,XRP,1.7155852,2024-11-28 14:15:02,2024-11-27T16:52:19
THEUSDT,-0.24001612,3.8272066,THE,4.0672226,2024-11-28 14:15:02,2024-11-27T16:52:30
DOGEUSDT,-0.24015093,0.39928582,DOGE,0.6394367,2024-11-28 14:15:02,2024-11-27T16:52:32
BTCUSDT,4.3558245,90664.21,BITCOIN,90659.85,2024-11-28 14:15:03,1732728600
ETHUSDT,-0.06743375,3363.188,ETHEREUM,3363.2554,2024-11-28 14:15:03,1732728660
ARUSDT,-0.2391402,20.66,AR,20.89914,2024-11-28 14:15:11,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010853,1.26,XTZ,1.5001085,2024-11-28 14:15:11,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24014062,0.616,STRK,0.8561406,2024-11-28 14:15:11,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24013178,0.80444,EOS,1.0445718,2024-11-28 14:15:12,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23840131,36.30377,DASH,36.54217,2024-11-28 14:15:12,1732804625
NEOUSDT,-0.23945914,14.815454,NEO,15.0549135,2024-11-28 14:15:13,1732804625
STEEMUSDT,-0.24015802,0.190752,STEEM,0.43091002,2024-11-28 14:15:13,1732804625
ZENUSDT,-0.23944513,16.16923,ZEN,16.408674,2024-11-28 14:15:13,1732804625
PEPEUSDT,-0.24017048,1.931536e-05,PEPE,0.24018979,2024-11-28 14:15:14,2024-11-27T16:52:08
TRXUSDT,-0.24016067,0.2004177,TRX,0.44057837,2024-11-28 14:15:14,2024-11-27T16:52:17
XRPUSDT,-0.24009916,1.4754864,XRP,1.7155856,2024-11-28 14:15:14,2024-11-27T16:52:19
THEUSDT,-0.24001677,3.8272066,THE,4.0672235,2024-11-28 14:15:15,2024-11-27T16:52:30
DOGEUSDT,-0.24015121,0.39928582,DOGE,0.639437,2024-11-28 14:15:15,2024-11-27T16:52:32
BTCUSDT,4.3558245,90664.21,BITCOIN,90659.85,2024-11-28 14:15:16,1732728600
ETHUSDT,-0.06743835,3363.188,ETHEREUM,3363.2554,2024-11-28 14:15:16,1732728660
ARUSDT,-0.23913895,20.66,AR,20.89914,2024-11-28 14:15:24,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010728,1.26,XTZ,1.5001073,2024-11-28 14:15:25,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013935,0.616,STRK,0.85613936,2024-11-28 14:15:25,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24013051,0.80444,EOS,1.0445706,2024-11-28 14:15:26,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23840007,36.30377,DASH,36.54217,2024-11-28 14:15:26,1732804625
NEOUSDT,-0.23945741,14.815454,NEO,15.054912,2024-11-28 14:15:27,1732804625
STEEMUSDT,-0.24015677,0.190752,STEEM,0.43090877,2024-11-28 14:15:27,1732804625
ZENUSDT,-0.23944436,16.16923,ZEN,16.408674,2024-11-28 14:15:27,1732804625
PEPEUSDT,-0.24016923,1.931536e-05,PEPE,0.24018854,2024-11-28 14:15:28,2024-11-27T16:52:08
TRXUSDT,-0.2401594,0.2004177,TRX,0.4405771,2024-11-28 14:15:28,2024-11-27T16:52:17
XRPUSDT,-0.2400979,1.4754864,XRP,1.7155843,2024-11-28 14:15:29,2024-11-27T16:52:19
THEUSDT,-0.24001557,3.8272066,THE,4.067222,2024-11-28 14:15:29,2024-11-27T16:52:30
DOGEUSDT,-0.24014996,0.39928582,DOGE,0.63943577,2024-11-28 14:15:29,2024-11-27T16:52:32
BTCUSDT,4.3558254,90664.21,BITCOIN,90659.85,2024-11-28 14:15:30,1732728600
ETHUSDT,-0.06745769,3363.188,ETHEREUM,3363.2554,2024-11-28 14:15:30,1732728660
ARUSDT,-0.23913755,20.66,AR,20.899137,2024-11-28 14:15:39,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010596,1.26,XTZ,1.500106,2024-11-28 14:15:39,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013805,0.616,STRK,0.85613805,2024-11-28 14:15:40,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24012922,0.80444,EOS,1.0445693,2024-11-28 14:15:40,2024-11-28T14:37:04.815Z
DASHUSDT,-0.2383986,36.30377,DASH,36.542168,2024-11-28 14:15:40,1732804625
NEOUSDT,-0.23945652,14.815454,NEO,15.054911,2024-11-28 14:15:41,1732804625
STEEMUSDT,-0.24015546,0.190752,STEEM,0.43090746,2024-11-28 14:15:42,1732804625
ZENUSDT,-0.23944299,16.16923,ZEN,16.408672,2024-11-28 14:15:42,1732804625
PEPEUSDT,-0.24016792,1.931536e-05,PEPE,0.24018724,2024-11-28 14:15:42,2024-11-27T16:52:08
TRXUSDT,-0.24015811,0.2004177,TRX,0.4405758,2024-11-28 14:15:43,2024-11-27T16:52:17
XRPUSDT,-0.24009663,1.4754864,XRP,1.7155831,2024-11-28 14:15:43,2024-11-27T16:52:19
THEUSDT,-0.24001466,3.8272066,THE,4.067221,2024-11-28 14:15:44,2024-11-27T16:52:30
DOGEUSDT,-0.24014865,0.39928582,DOGE,0.63943446,2024-11-28 14:15:44,2024-11-27T16:52:32
BTCUSDT,4.3558264,90664.21,BITCOIN,90659.85,2024-11-28 14:15:44,1732728600
ETHUSDT,-0.067488275,3363.188,ETHEREUM,3363.2554,2024-11-28 14:15:45,1732728660
ARUSDT,-0.23913577,20.66,AR,20.899136,2024-11-28 14:15:53,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010453,1.26,XTZ,1.5001045,2024-11-28 14:15:53,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013661,0.616,STRK,0.8561366,2024-11-28 14:15:53,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24012777,0.80444,EOS,1.0445678,2024-11-28 14:15:54,2024-11-28T14:37:04.815Z
DASHUSDT,-0.2383974,36.30377,DASH,36.542168,2024-11-28 14:15:54,1732804625
NEOUSDT,-0.23945518,14.815454,NEO,15.054909,2024-11-28 14:15:54,1732804625
STEEMUSDT,-0.24015401,0.190752,STEEM,0.430906,2024-11-28 14:15:55,1732804625
ZENUSDT,-0.23944212,16.16923,ZEN,16.408672,2024-11-28 14:15:55,1732804625
PEPEUSDT,-0.24016647,1.931536e-05,PEPE,0.24018578,2024-11-28 14:15:56,2024-11-27T16:52:08
TRXUSDT,-0.24015667,0.2004177,TRX,0.44057438,2024-11-28 14:15:56,2024-11-27T16:52:17
XRPUSDT,-0.24009518,1.4754864,XRP,1.7155815,2024-11-28 14:15:57,2024-11-27T16:52:19
THEUSDT,-0.24001268,3.8272066,THE,4.0672193,2024-11-28 14:15:57,2024-11-27T16:52:30
DOGEUSDT,-0.2401472,0.39928582,DOGE,0.639433,2024-11-28 14:15:58,2024-11-27T16:52:32
BTCUSDT,4.3558273,90664.21,BITCOIN,90659.85,2024-11-28 14:15:58,1732728600
ETHUSDT,-0.067510895,3363.188,ETHEREUM,3363.2556,2024-11-28 14:15:58,1732728660
ARUSDT,-0.23913601,20.66,AR,20.899136,2024-11-28 14:16:06,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010558,1.26,XTZ,1.5001056,2024-11-28 14:16:06,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013765,0.616,STRK,0.85613763,2024-11-28 14:16:06,2024-11-28T14:37:10.860Z
EOSUSDT,-0.2401288,0.80444,EOS,1.0445688,2024-11-28 14:16:07,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23839873,36.30377,DASH,36.542168,2024-11-28 14:16:07,1732804625
NEOUSDT,-0.23945585,14.815454,NEO,15.05491,2024-11-28 14:16:08,1732804625
STEEMUSDT,-0.24015506,0.190752,STEEM,0.43090707,2024-11-28 14:16:08,1732804625
ZENUSDT,-0.23944184,16.16923,ZEN,16.408672,2024-11-28 14:16:08,1732804625
PEPEUSDT,-0.24016751,1.931536e-05,PEPE,0.24018683,2024-11-28 14:16:09,2024-11-27T16:52:08
TRXUSDT,-0.24015771,0.2004177,TRX,0.44057542,2024-11-28 14:16:09,2024-11-27T16:52:17
XRPUSDT,-0.24009618,1.4754864,XRP,1.7155826,2024-11-28 14:16:10,2024-11-27T16:52:19
THEUSDT,-0.24001426,3.8272066,THE,4.0672207,2024-11-28 14:16:10,2024-11-27T16:52:30
DOGEUSDT,-0.24014823,0.39928582,DOGE,0.63943404,2024-11-28 14:16:10,2024-11-27T16:52:32
BTCUSDT,4.3558264,90664.21,BITCOIN,90659.85,2024-11-28 14:16:11,1732728600
ETHUSDT,-0.0674917,3363.188,ETHEREUM,3363.2554,2024-11-28 14:16:11,1732728660
ARUSDT,-0.2391356,20.66,AR,20.899136,2024-11-28 14:16:19,2024-11-28T14:37:09.255Z
XTZUSDT,-0.2401056,1.26,XTZ,1.5001056,2024-11-28 14:16:20,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013771,0.616,STRK,0.8561377,2024-11-28 14:16:20,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24012883,0.80444,EOS,1.0445688,2024-11-28 14:16:20,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23839928,36.30377,DASH,36.542168,2024-11-28 14:16:21,1732804625
NEOUSDT,-0.23945495,14.815454,NEO,15.054909,2024-11-28 14:16:21,1732804625
STEEMUSDT,-0.24015513,0.190752,STEEM,0.43090713,2024-11-28 14:16:21,1732804625
ZENUSDT,-0.23944192,16.16923,ZEN,16.408672,2024-11-28 14:16:22,1732804625
PEPEUSDT,-0.24016759,1.931536e-05,PEPE,0.2401869,2024-11-28 14:16:22,2024-11-27T16:52:08
TRXUSDT,-0.24015778,0.2004177,TRX,0.44057548,2024-11-28 14:16:22,2024-11-27T16:52:17
XRPUSDT,-0.24009621,1.4754864,XRP,1.7155826,2024-11-28 14:16:23,2024-11-27T16:52:19
THEUSDT,-0.24001451,3.8272066,THE,4.067221,2024-11-28 14:16:23,2024-11-27T16:52:30
DOGEUSDT,-0.2401483,0.39928582,DOGE,0.6394341,2024-11-28 14:16:24,2024-11-27T16:52:32
BTCUSDT,4.3558264,90664.21,BITCOIN,90659.85,2024-11-28 14:16:24,1732728600
ETHUSDT,-0.06749178,3363.188,ETHEREUM,3363.2554,2024-11-28 14:16:25,1732728660
ARUSDT,-0.2391359,20.66,AR,20.899136,2024-11-28 14:16:32,2024-11-28T14:37:09.255Z
XTZUSDT,-0.24010639,1.26,XTZ,1.5001063,2024-11-28 14:16:33,2024-11-28T14:37:11.977Z
STRKUSDT,-0.24013852,0.616,STRK,0.8561385,2024-11-28 14:16:33,2024-11-28T14:37:10.860Z
EOSUSDT,-0.24012963,0.80444,EOS,1.0445696,2024-11-28 14:16:34,2024-11-28T14:37:04.815Z
DASHUSDT,-0.23840007,36.30377,DASH,36.54217,2024-11-28 14:16:34,1732804625
NEOUSDT,-0.23945671,14.815454,NEO,15.054911,2024-11-28 14:16:35,1732804625
STEEMUSDT,-0.24015592,0.190752,STEEM,0.4309079,2024-11-28 14:16:35,1732804625
ZENUSDT,-0.2394427,16.16923,ZEN,16.408672,2024-11-28 14:16:35,1732804625
PEPEUSDT,-0.24016838,1.931536e-05,PEPE,0.24018769,2024-11-28 14:16:36,2024-11-27T16:52:08
